team_id,team_display_name,cust_id,display_name,race_count,old_classification,total_time,avg_speed,percentage,new_classification,deadzone,reclassified,driven,gold_race_count,gold_total_drive_time,gold_total_sesion_time,gold_total_percentage,index,total_index,total_session_time
-159910,Austrian Simracers Red,347495,Marko Zeiler,1,Gold,5701.9193000000005,206.5255056539295,26.0,Gold,False,False,False,1,5701.92,21539.16,26.0,0,0,21539.1573
-159910,Austrian Simracers Red,420543,Pascal Haß,1,Gold,5235.118,206.1957570796303,24.0,Gold,False,False,False,1,5235.12,21539.16,24.0,0,0,21539.1573
-258771,PROTOSIM #2,775547,André Rosa,1,Silver,5746.1353,204.93631025889687,27.0,Gold,False,True,False,1,5746.14,21539.16,27.0,0,0,21539.1573
-110547,Carbono eSports,626532,Bruno Ciccioli,1,Gold,8627.4187,204.74115275587587,40.0,Gold,False,False,False,1,8627.42,21539.16,40.0,0,0,21539.1573
-159910,Austrian Simracers Red,409965,Thomas Pieber,1,Gold,7259.3463,202.77166117395447,34.0,Gold,True,False,False,1,7259.35,21539.16,34.0,0,0,21539.1573
-257829,SR TECHNIC #PEC,201606,Manuel M Cruz,1,Silver,5330.8432,202.4931289314981,25.0,Silver,True,False,False,0,0.0,0.0,0.0,0,0,21539.1573
-134184,GROW RACING TEAM RED,676270,Cassio Medeiros,1,Gold,5573.4239,202.4833321974308,26.0,Gold,True,False,False,1,5573.42,21539.16,26.0,0,0,21539.1573
-252527,Krips Racing Blue,831421,Christian Hindsch,1,Silver,5581.9126,202.1754054373406,26.0,Silver,True,False,False,0,0.0,0.0,0.0,0,0,21539.1573
-159911,Austrian Simracers Blue,580583,Benedikt Hochleitner,1,Silver,6797.6392000000005,202.1079702301352,32.0,Silver,True,False,False,0,0.0,0.0,0.0,0,0,21539.1573
-140651,Chicane Online Racing Orange,392848,Ingmar Hamberg,1,Silver,10447.887599999998,201.9405257779381,49.0,Silver,True,False,False,0,0.0,0.0,0.0,0,0,21539.1573
-298040,Peaky Drivers GT3,384294,Sergio Gomez Redondo,1,Silver,4638.8609,200.96747211851084,22.0,Silver,False,False,False,0,0.0,0.0,0.0,0,0,21539.1573
-252527,Krips Racing Blue,857753,Afonso Souto,1,Silver,8793.6694,200.8703727189926,41.0,Silver,False,False,False,0,0.0,0.0,0.0,0,0,21539.1573
-257829,SR TECHNIC #PEC,461417,Jorge  Mendes Pinheiro,1,Gold,3186.8557,200.15409135870192,15.0,Silver,False,True,False,0,0.0,0.0,0.0,0,0,21539.1573
-298040,Peaky Drivers GT3,665755,Manuel Roig,1,Silver,5907.2732000000005,199.3460818149396,27.0,Silver,False,False,False,0,0.0,0.0,0.0,0,0,21539.1573
-272629,Platinum Racing Team red,560270,Iwan Bremer,1,Gold,6794.781099999999,187.75062729388003,32.0,Silver,False,True,False,0,0.0,0.0,0.0,0,0,21539.1573
-306961,Scopum Racing E-Sports Team Silver,867228,Fabian Sodke,1,Silver,2093.6094,187.4898865455992,10.0,Silver,False,False,False,0,0.0,0.0,0.0,0,0,21539.1573
-158916,Over The Limit racing,413828,Justas Staciokas,1,Gold,1308.6623,187.46747579417547,6.0,Silver,False,True,False,0,0.0,0.0,0.0,0,0,21539.1573
-305563,Scopum Racing E-Sport Team Silver,707718,Patrick Heit,1,Silver,0.0,0.0,0.0,Silver,False,False,False,0,0.0,0.0,0.0,0,0,21539.1573
-129653,Octopus Racing Team,365305,Davo Ramos,2,Gold,6364.168100000001,184.25541150617943,29.0,Gold,False,False,False,1,6364.17,21575.67,29.0,0,0,21575.6681
-299638,Ingersoll Rand Enosis eSports #215,606742,Raul Ontañon,2,Gold,7526.5945,183.8422737333332,35.0,Gold,False,False,False,1,7526.59,21575.67,35.0,0,0,21575.6681
-159911,Austrian Simracers Blue,765885,Chris AJ Mayer,1,Silver,5620.935,183.5844966541688,26.0,Gold,False,True,False,1,5620.94,21575.67,26.0,0,0,21575.6681
-286482,Kairos eSports #229,211521,Théo Pastaga,2,Gold,1151.3704,183.3240060616462,5.0,Gold,False,False,False,1,1151.37,21575.67,5.0,0,0,21575.6681
-299312,CM x MSi Gaming GT3,732337,Davide De Marco2,2,Gold,7294.132,183.27073733549105,34.0,Gold,False,False,False,1,7294.13,21575.67,34.0,0,0,21575.6681
