team_id,cust_id,display_name,average_lap,best_lap_num,best_lap_time,car_class_id,car_class_name,car_class_short_name,car_id,car_name,class_interval,club_id,club_name,club_shortname,country_code,finish_position,finish_position_in_class,incidents,interval,laps_complete,laps_lead,opt_laps_complete,position,starting_position,starting_position_in_class,team_display_name,simsession_number,simsession_type,simsession_type_name,simsession_subtype,simsession_name,laps_complete_valid,average_lap_valid,speed_valid,time_valid,avg_lap,time,speed,total_session_time
-288978,348052,Aritz Paz,1121902,3,1077409,4029,GTP,GTP,174,Porsche 963 GTP,0,38,Iberia,Iberia,US,0,0,3,0,4,0,0,0,-1,-1,Enosis eSports PEC GTP,0,3,Open Practice,0,PRACTICE,3,112,209,337,112.0,448.0,209.0,449
-306596,323778,Jose Manuel Cazon,1092539,11,1079551,4029,GTP,GTP,170,Acura ARX-06 GTP,2142,38,Iberia,Iberia,ES,1,1,14,2142,14,0,0,1,-1,-1,XBD Racing GTP,0,3,Open Practice,0,PRACTICE,13,109,215,1420,109.0,1526.0,215.0,449
-190634,245246,Alberto García Blasco,1095489,1,1082483,4029,GTP,GTP,170,Acura ARX-06 GTP,5074,24,Hispanoamérica,Hispanoamérica,CL,2,2,1,5074,16,0,0,2,-1,-1,XBD Endurance Solo,0,3,Open Practice,0,PRACTICE,16,110,214,1753,110.0,1760.0,214.0,449
-233878,20477,Albert Priem,1094491,9,1085483,4029,GTP,GTP,170,Acura ARX-06 GTP,8074,40,Benelux,Benelux,NL,3,3,26,8074,21,0,0,3,-1,-1,DLR x Sim-Lab \\ Orange,0,3,Open Practice,0,PRACTICE,19,109,214,2080,109.0,2289.0,214.0,449
-358101,823793,Luciano Gomes,1102133,17,1090294,4029,GTP,GTP,168,Cadillac V-Series.R GTP,12885,38,Iberia,Iberia,PT,4,4,9,12885,23,0,0,4,-1,-1,Foccus Racing GTP,0,3,Open Practice,0,PRACTICE,23,110,213,2535,110.0,2530.0,213.0,449
-379683,371028,Alex Sevillano Lledó,1270899,36,1243176,4011,IMSA23,IMSA23,173,Ferrari 296 GT3,0,38,Iberia,Iberia,NL,5,0,35,165767,36,0,0,5,-1,-1,Hydrorace Racing Forces PEC,0,3,Open Practice,0,PRACTICE,34,127,185,4321,127.0,4572.0,185.0,449
-325463,775090,Marcel Beck,1269702,12,1246855,4011,IMSA23,IMSA23,173,Ferrari 296 GT3,3679,42,DE-AT-CH,DE-AT-CH,DE,6,1,26,169446,12,0,0,6,-1,-1,Team Racegitter.de #Black,0,3,Open Practice,0,PRACTICE,9,127,185,1143,127.0,1524.0,185.0,449
-256006,400601,Pedro S Monteiro,1264162,19,1250619,4011,IMSA23,IMSA23,173,Ferrari 296 GT3,7443,39,France,France,MC,7,2,5,173210,20,0,0,7,-1,-1,The7Garage,0,3,Open Practice,0,PRACTICE,20,126,186,2528,126.0,2520.0,186.0,449
-339602,363812,Vincent Aussems,1257277,13,1252318,4011,IMSA23,IMSA23,173,Ferrari 296 GT3,9142,40,Benelux,Benelux,NL,8,3,3,174909,13,0,0,8,-1,-1,SimRace Sweden eSports,0,3,Open Practice,0,PRACTICE,13,126,187,1634,126.0,1638.0,187.0,449
-339602,560270,Iwan Bremer,1263002,28,1255504,4011,IMSA23,IMSA23,173,Ferrari 296 GT3,12328,40,Benelux,Benelux,NL,13,8,13,178095,24,0,0,13,-1,-1,SimRace Sweden eSports,0,3,Open Practice,0,PRACTICE,21,126,186,2652,126.0,3024.0,186.0,449
