team_id,team_display_name,cust_id,display_name,oldi_rating,avg_lap,laps_complete,avg_lap_valid,laps_complete_valid,speed,time_valid,percentage
-306596,XBD Emiral Racing,245246,Alberto García Blasco,6265,116.1185,102,114.16987608695652,92,205.41888146867646,10503.6286,55.0
-306596,XBD Emiral Racing,637180,Hugo González Aranda,5398,116.454,84,114.23919594594594,74,205.29423416370147,8453.700499999999,45.0
-254304,Platinum Racing Team Blue,532015,Winston Ekkel,3299,115.9594,102,114.14985934065935,91,205.4549026925199,10387.637200000001,55.0
-254304,Platinum Racing Team Blue,363812,Vincent Aussems,3940,116.0426,84,114.22213421052632,76,205.32489963787322,8680.8822,45.0
-164695,BAZINGA Motorsport,466164,Leonhard V Ziegler,2549,115.6552,94,114.84374819277109,83,204.21353893669104,9532.0311,51.0
-164695,BAZINGA Motorsport,375623,Oliver Konert,4110,115.88,90,114.4662027027027,74,204.88709933107836,8470.499,48.0
-303752,HW Racing,324079,Patrick Szilvasi,5100,117.5743,103,114.67786451612905,93,204.50893764159227,10665.041400000002,55.0
-303752,HW Racing,578970,Péter Hercsel,2506,118.3357,81,115.4797352112676,71,203.08886403570207,8199.0612,44.0
-279040,Platinum Racing Team Black,427545,Marnix Heijster,3180,117.7323,71,115.17390158730159,63,203.62814769648958,7255.9558,38.0
-279040,Platinum Racing Team Black,686915,Nick Kerstens,2512,116.8991,61,115.37580185185185,54,203.2718114784099,6230.293299999999,33.0
-279040,Platinum Racing Team Black,492400,Maarten Beers,2383,117.297,51,115.17572666666666,45,203.62492099637433,5182.9077,27.0
-249688,LEO RACING TEAM LMP2,387312,Gianpaolo Filippo Cristini,5014,116.6537,101,114.30437093023255,86,205.1771778483842,9830.1759,54.0
-249688,LEO RACING TEAM LMP2,318720,Michele Sangalli,7403,117.0729,80,114.61791000000001,70,204.61591249744475,8023.2537,43.0
-201381,Peaky Drivers LMP2,602043,Fran Garcia3,5527,117.1101,130,114.52000956521739,115,204.79083377865138,13169.8011,70.0
-201381,Peaky Drivers LMP2,346139,Kevin Cordoba,4797,117.6029,50,115.22067272727273,44,203.54548960768878,5069.7096,27.0
-109804,Carbono eSports Black,562080,Pablo Alfieri,3453,118.2387,58,116.70400392156863,51,200.95838578907237,5951.9042,31.0
-109804,Carbono eSports Black,335781,Mike R,2336,118.1655,40,115.83376470588236,34,202.46815168918542,3938.3480000000004,22.0
-109804,Carbono eSports Black,299849,Vicente Lara,2531,119.2559,40,116.53045428571428,35,201.25767454486882,4078.5659,22.0
-109804,Carbono eSports Black,292820,Juanjo Gragera,2519,118.7247,40,116.40214117647058,34,201.4795261166613,3957.6728,22.0
-140500,505 Endurance,347464,Jens Kaiser,4168,117.4908,79,114.73794117647058,68,204.4018569858168,7802.179999999999,42.0
-140500,505 Endurance,750371,Adrian Schusdziarra,2515,116.1304,35,115.03968928571429,28,203.8657126841907,3221.1113,19.0
-53704,LITHIUM Motorsports,380152,Zachary Livengood,2564,121.3894,49,116.96787906976745,43,200.50503120785217,5029.6188,26.0
-53704,LITHIUM Motorsports,543930,Kevin Nguyen5,2807,117.8635,41,115.15862777777778,36,203.65515546483152,4145.7106,22.0
-261365,MRP by Fields Academy,310141,Cristian Streitemberger,5157,117.4204,60,114.34073962264152,53,205.1119165452377,6060.059200000001,32.0
-261365,MRP by Fields Academy,355194,Martín Rey,5249,115.5087,9,115.5087,7,203.03793777611557,808.5609000000001,5.0
-261365,MRP by Fields Academy,173751,Andrew Fields,5034,0.0,0,0.0,0,inf,0.0,0.0
-298629,Scopum Racing E-Sports Team Purple,857815,Lemi Mischke,1848,119.1194,10,115.12402857142857,7,203.71636168594318,805.8682,5.0
