team_id,team_display_name,cust_id,display_name,oldi_rating,avg_lap,laps_complete,avg_lap_valid,laps_complete_valid,speed,time_valid,percentage
-249688,LEO RACING TEAM LMP2,387312,Gianpaolo Filippo Cristini,5014,110.8451,146,109.35181136363636,132,193.96578728693382,14434.4391,56.0
-249688,LEO RACING TEAM LMP2,318720,Michele Sangalli,7547,111.0832,113,109.39174901960783,102,193.8949726326996,11157.958399999998,44.0
-261365,MRP by Fields Academy,512050,Alberto Gazapo,7031,110.6824,145,109.19409461538461,130,194.24594578223284,14195.2323,56.0
-261365,MRP by Fields Academy,146313,Ruben Rodriguez,7136,109.9733,68,109.29019032258066,62,194.07515093344713,6775.991800000001,26.0
-261365,MRP by Fields Academy,173751,Andrew Fields,5034,111.316,46,110.26844761904762,42,192.35339428806947,4631.2748,18.0
-164695,BAZINGA Motorsport,466164,Leonhard V Ziegler,2592,110.6962,130,109.82045258620688,116,193.13806930225653,12739.172499999999,50.0
-164695,BAZINGA Motorsport,375623,Oliver Konert,4110,110.1509,129,109.10713333333332,114,194.40076495823376,12438.213199999998,50.0
-140500,505 Endurance,356582,Dennis Cho,3776,111.5142,149,109.77950852713177,129,193.21010329680854,14161.556599999998,58.0
-140500,505 Endurance,347125,Ben Dutton,4284,110.854,109,109.43232886597939,97,193.82307223285258,10614.9359,42.0
-201381,Peaky Drivers LMP2,496743,Aleix Garcia,4058,111.0469,147,109.36262890625,128,193.9466012707366,13998.4165,57.0
-201381,Peaky Drivers LMP2,415746,Sito Ferrer,3631,111.5192,111,109.987890625,96,192.84404912097568,10558.837500000001,43.0
-279040,Platinum Racing Team Black,427545,Marnix Heijster,3180,112.4155,111,110.75948000000001,100,191.50062985488918,11075.948,43.0
-279040,Platinum Racing Team Black,405036,Sophia Ridpath,3125,112.2345,79,109.96912727272728,66,192.8769529087668,7257.9624,31.0
-279040,Platinum Racing Team Black,686915,Nick Kerstens,2512,112.3591,66,110.51873773584906,53,191.91777446006725,5857.4931,25.0
-109804,Carbono eSports Black,292820,Juanjo Gragera,2519,111.7336,87,110.52397402597403,77,191.9086819789466,8510.346,34.0
-109804,Carbono eSports Black,299849,Vicente Lara,2531,112.9455,87,111.35979615384615,78,190.4682921033475,8686.0641,34.0
-109804,Carbono eSports Black,335781,Mike R,2336,112.2652,81,111.01095205479453,73,191.06682529783717,8103.799500000001,31.0
-254304,Platinum Racing Team Blue,532015,Winston Ekkel,3299,110.5424,123,109.36192524271844,103,193.9478491744296,11264.2783,47.0
-254304,Platinum Racing Team Blue,363812,Vincent Aussems,3940,110.724,109,109.63671354166668,96,193.4617474130971,10525.124500000002,42.0
-254304,Platinum Racing Team Blue,629334,Thijs Merks,2128,110.6761,22,110.889975,16,191.27527247075312,1774.2396,8.0
-306596,XBD Emiral Racing,245246,Alberto García Blasco,6197,111.084,139,109.3184634920635,126,194.024957037014,13774.126400000001,54.0
-306596,XBD Emiral Racing,540224,Luis Martinez8,4291,110.9331,112,109.67887272727273,99,193.38738313934002,10858.208400000001,43.0
-303752,HW Racing,569754,Diego L Pereira,2019,112.2587,89,110.86613636363636,77,191.31640082441768,8536.6925,34.0
-303752,HW Racing,705991,Juan Roldán,2928,111.9852,88,110.14304864864864,74,192.57239056511477,8150.585599999999,34.0
-303752,HW Racing,578970,Péter Hercsel,2506,112.6393,73,110.96904516129032,62,191.1389807091801,6880.0808,28.0
-53704,LITHIUM Motorsports,380152,Zachary Livengood,2561,113.9012,103,111.03999176470589,85,191.01685658753598,9438.399300000001,40.0
-53704,LITHIUM Motorsports,611888,Milo Speelman,2483,113.1417,85,110.78390142857144,70,191.4584150665212,7754.873100000001,33.0
-53704,LITHIUM Motorsports,543930,Kevin Nguyen5,2807,112.3452,59,110.56911509433961,53,191.83033312967012,5860.163099999999,23.0
-302108,Team Shazoo,805118,Ishja Biesheuvel,3855,114.2759,20,110.43431764705882,17,192.06448352574122,1877.3834,8.0
