team_id,team_display_name,cust_id,display_name,oldi_rating,avg_lap,laps_complete,avg_lap_valid,laps_complete_valid,speed,time_valid,percentage
-261365,MRP by Fields Academy,266382,Tobi Soriano,8050,109.7765,22,109.776475,20,195.27373310174153,2195.5295,35.0
-261365,MRP by Fields Academy,173751,Andrew Fields,5034,110.1955,20,109.8036105263158,19,195.22547553081137,2086.2686,32.0
-261365,MRP by Fields Academy,310141,Cristian Streitemberger,5515,114.633,14,109.15162,10,196.39160719740124,1091.5162,22.0
-254304,Platinum Racing Team Blue,363812,Vincent Aussems,4015,111.5835,13,111.5834888888889,9,192.11141624497614,1004.2514000000001,21.0
-225873,centoquattro #104,496797,Andrea Frassineti,5740,110.8621,9,110.806575,4,193.4583943236221,443.2263,14.0
-225873,centoquattro #104,387312,Gianpaolo Filippo Cristini,5014,108.9161,7,108.91606666666668,6,196.81634432875225,653.4964000000001,11.0
-306596,XBD Emiral Racing,424670,Marc Hagele,4139,110.5175,54,110.10845869565217,46,194.68497092718326,5064.9891,86.0
-306596,XBD Emiral Racing,540224,Luis Martinez8,4353,109.2752,9,109.27522857142857,7,196.16945542225886,764.9266,14.0
-109804,Carbono eSports Black,335781,Mike R,2336,110.8433,25,109.7061105263158,19,195.39897984860127,2084.4161000000004,40.0
-109804,Carbono eSports Black,292820,Juanjo Gragera,2519,110.0612,20,109.73398421052632,19,195.34934627793908,2084.9457,32.0
-164695,BAZINGA Motorsport,466164,Leonhard V Ziegler,2592,109.6105,28,109.610464,25,195.56948577464289,2740.2616,44.0
-53704,LITHIUM Motorsports,611888,Milo Speelman,2483,110.1739,23,110.17391666666667,18,194.56930214123582,1983.1305,37.0
-279040,Platinum Racing Team Black,686915,Nick Kerstens,2681,112.7449,19,112.7448875,16,190.13245350038602,1803.9182,30.0
-279040,Platinum Racing Team Black,427545,Marnix Heijster,3180,115.8665,14,115.86654166666668,12,185.00994136573075,1390.3985000000002,22.0
-214727,BAZINGA Motorsport #998,512418,Niklas Röder,2187,111.5002,16,110.7816,12,193.50200827574258,1329.3791999999999,25.0
-201381,Peaky Drivers LMP2,528821,Ivan Spitz,2418,112.4499,6,112.44991999999999,5,190.6311901333501,562.2496,10.0
-201381,Peaky Drivers LMP2,496743,Aleix Garcia,4520,112.3005,3,112.3005,1,190.88483203547628,112.3005,5.0
-265602,PRT Blue,400221,Perry Oosterveer,2594,110.3217,12,110.3216875,8,194.30868549758185,882.5735,19.0
