team_id,cust_id,display_name,finish_position,finish_position_in_class,laps_lead,laps_complete,opt_laps_complete,interval,class_interval,average_lap,best_lap_num,best_lap_time,position,starting_position,starting_position_in_class,car_class_id,car_class_name,car_class_short_name,club_id,club_name,club_shortname,incidents,car_id,car_name,team_display_name,simsession_number,simsession_type,simsession_type_name,simsession_subtype,simsession_name,laps_complete_valid,average_lap_valid,speed_valid,time_valid,avg_lap,time,speed,total_session_time
-243684,176521,Tom R Dadswell,0,0,35,36,0,0,0,2135456,21,2035974,0,0,0,4010,BMW M Hybrid V8,BMW M Hybrid V8,36,UK and I,UK and I,0,159,BMW M Hybrid V8,Altitude Esports,0,6,Race,0,RACE,35,213.54559714285713,229.76977407207207,7474.095899999999,213.5456,7687.6416,229.76977099785714,21539.1573
-243684,388214,Mark D Hutchinson,0,0,29,33,0,0,0,2094888,87,2044907,0,0,0,4010,BMW M Hybrid V8,BMW M Hybrid V8,36,UK and I,UK and I,1,159,BMW M Hybrid V8,Altitude Esports,0,6,Race,0,RACE,29,209.48884827586207,234.21926280766888,6075.1766,209.4888,6913.1304,234.21931678256786,21539.1573
-243684,259215,Bryan Loynes,0,0,27,33,0,0,0,2102541,72,2064248,0,0,0,4010,BMW M Hybrid V8,BMW M Hybrid V8,36,UK and I,UK and I,3,159,BMW M Hybrid V8,Altitude Esports,0,6,Race,0,RACE,29,210.25405862068968,233.36683216241002,6097.367700000001,210.2541,6938.3853,233.36678623437072,21539.1573
-284108,477938,Balazs Turoczy,1,1,0,44,0,785638,785638,2132648,8,2056091,1,2,2,4010,BMW M Hybrid V8,BMW M Hybrid V8,46,Central-Eastern Europe,Central-Eastern Europe,0,159,BMW M Hybrid V8,Magic Arrow,0,6,Race,0,RACE,40,213.26484,230.0722594948141,8530.5936,213.2648,9383.6512,230.07230264722543,21539.1573
-284108,684015,Eran Aviner,1,1,0,36,0,785638,785638,2125214,100,2065971,1,2,2,4010,BMW M Hybrid V8,BMW M Hybrid V8,40,Benelux,Benelux,3,159,BMW M Hybrid V8,Magic Arrow,0,6,Race,0,RACE,30,212.52136000000002,230.87713917132845,6375.6408,212.5214,7650.7704,230.87709571647844,21539.1573
-284108,167281,Coen Gerrits,1,1,0,22,0,785638,785638,2114610,86,2064225,1,2,2,4010,BMW M Hybrid V8,BMW M Hybrid V8,40,Benelux,Benelux,0,159,BMW M Hybrid V8,Magic Arrow,0,6,Race,0,RACE,21,211.4610095238095,232.03484992383602,4440.6812,211.461,4652.142,232.0348603742534,21539.1573
-302846,816986,Andrea Lucani,2,2,3,46,0,1137435,1137435,2115142,41,2055701,2,5,5,4010,BMW M Hybrid V8,BMW M Hybrid V8,41,Italy,Italy,2,159,BMW M Hybrid V8,EPOCH MOTORSPORT,0,6,Race,0,RACE,44,211.5141727272727,231.976528933909,9306.623599999999,211.5142,9729.653199999999,231.97649902276066,21539.1573
-302846,454593,Diego Merli,2,2,0,33,0,1137435,1137435,2121444,10,2052667,2,5,5,4010,BMW M Hybrid V8,BMW M Hybrid V8,41,Italy,Italy,1,159,BMW M Hybrid V8,EPOCH MOTORSPORT,0,6,Race,0,RACE,33,212.14436666666666,231.28742177111786,7000.764099999999,212.1444,7000.7652,231.28738542992414,21539.1573
-302846,55357,Luca Morelli,2,2,1,23,0,1137435,1137435,2116000,78,2052074,2,5,5,4010,BMW M Hybrid V8,BMW M Hybrid V8,41,Italy,Italy,4,159,BMW M Hybrid V8,EPOCH MOTORSPORT,0,6,Race,0,RACE,21,211.60004285714285,231.8823897532292,4443.6008999999995,211.6,4866.8,231.88243671833652,21539.1573
-145316,366068,Stephane Civeira Lareo,3,3,2,58,0,1226424,1226424,2135525,43,2063862,3,6,6,4010,BMW M Hybrid V8,BMW M Hybrid V8,38,Iberia,Iberia,4,159,BMW M Hybrid V8,Octopus Racing Team LMDH,0,6,Race,0,RACE,56,213.55251607142858,229.76232971747524,11958.940900000001,213.5525,12386.045,229.76234700881514,21539.1573
