team_id,cust_id,display_name,finish_position,finish_position_in_class,laps_lead,laps_complete,opt_laps_complete,interval,class_interval,average_lap,best_lap_num,best_lap_time,position,starting_position,starting_position_in_class,car_class_id,car_class_name,car_class_short_name,club_id,club_name,club_shortname,incidents,car_id,car_name,team_display_name,simsession_number,simsession_type,simsession_type_name,simsession_subtype,simsession_name,laps_complete_valid,average_lap_valid,speed_valid,time_valid,avg_lap,time,speed,total_session_time
-306596,245246,Alberto García Blasco,0,0,0,11,0,0,0,916431,10,804258,0,-1,-1,4029,GTP,GTP,24,Hispanoamérica,Hispanoamérica,2,168,Cadillac V-Series.R GTP,XBD Emiral Racing,-1,5,Open Qualifying,0,QUALIFY,8,81.46095,190.3215756555749,651.6876,91.6431,1008.0741,169.17559923660374,1008.0741
-147029,552913,Sergio Borja,1,1,0,11,0,2024,2024,1053908,8,806282,1,-1,-1,4029,GTP,GTP,38,Iberia,Iberia,5,168,Cadillac V-Series.R GTP,M4SKED DEVILS RED,-1,5,Open Qualifying,0,QUALIFY,5,83.6921,185.24778752594335,418.46049999999997,105.3908,1159.2988,147.10749285895923,1008.0741
-316172,574351,Jeremiah Kaiser,2,2,0,11,0,4624,4624,970562,11,808882,2,-1,-1,4029,GTP,GTP,34,Australia/NZ,Australia/NZ,4,168,Cadillac V-Series.R GTP,Project Dynamic Green,-1,5,Open Qualifying,0,QUALIFY,8,82.252625,188.489745566175,658.021,97.0562,1067.6182000000001,159.74019545788937,1008.0741
-288087,620347,Norbert Tamas,3,3,0,12,0,6321,6321,903736,7,810579,3,-1,-1,4029,GTP,GTP,46,Central-Eastern Europe,Central-Eastern Europe,1,168,Cadillac V-Series.R GTP,Magic Arrow #55,-1,5,Open Qualifying,0,QUALIFY,9,82.2170111111111,188.57139354588827,739.9531,90.3736,1084.4832,171.55205013853606,1008.0741
-135937,558947,Pablo Javier Ruiz,4,4,0,13,0,6679,6679,900747,9,810937,4,-1,-1,4029,GTP,GTP,38,Iberia,Iberia,0,168,Cadillac V-Series.R GTP,M4sked Devils BLUE,-1,5,Open Qualifying,0,QUALIFY,10,82.23001,188.5415842512971,822.3000999999999,90.0747,1170.9711000000002,172.12132106351729,1008.0741
-61124,276401,Gonçalo Narciso,5,5,0,11,0,7274,7274,1005457,6,811532,5,-1,-1,4029,GTP,GTP,38,Iberia,Iberia,5,170,Acura ARX-06 GTP,IPM Gold,-1,5,Open Qualifying,0,QUALIFY,6,84.6549,183.14092106186416,507.9294,100.5457,1106.0027,154.19631429688195,1008.0741
-53704,611888,Milo Speelman,6,6,0,10,0,7690,7690,1060200,10,811948,6,-1,-1,4029,GTP,GTP,40,Benelux,Benelux,6,168,Cadillac V-Series.R GTP,LITHIUM Motorsports,-1,5,Open Qualifying,0,QUALIFY,5,82.16168,188.69838540789334,410.8084,106.02,1060.2,146.23444971137525,1008.0741
-291980,912319,Nick Baggerman,7,7,0,12,0,7802,7802,890876,11,812060,7,-1,-1,4029,GTP,GTP,40,Benelux,Benelux,5,168,Cadillac V-Series.R GTP,Future Racing Team Pro,-1,5,Open Qualifying,0,QUALIFY,8,83.9323625,184.71750224354764,671.4589,89.0876,1069.0511999999999,174.028443446675,1008.0741
-289887,699233,Oliver E Bunn,8,8,0,11,0,8659,8659,959015,7,812917,8,-1,-1,4029,GTP,GTP,36,UK and I,UK and I,3,170,Acura ARX-06 GTP,Prestanda NOMAD #256,-1,5,Open Qualifying,0,QUALIFY,7,83.73064285714285,185.16251433602142,586.1145,95.9015,1054.9165,161.66354393205532,1008.0741
-295372,685827,Julio Pinto3,9,9,0,6,0,10266,10266,929060,5,814524,9,-1,-1,4029,GTP,GTP,38,Iberia,Iberia,5,168,Cadillac V-Series.R GTP,F Racing #LMDH,-1,5,Open Qualifying,0,QUALIFY,3,81.92516666666667,189.2431469987855,245.77550000000002,92.906,557.436,166.87594297892494,1008.0741
-327202,594341,Sergio Sánchez Cachafeiro,10,10,0,12,0,13010,13010,935299,10,817268,10,-1,-1,4029,GTP,GTP,38,Iberia,Iberia,2,168,Cadillac V-Series.R GTP,GO! eSports GTP,-1,5,Open Qualifying,0,QUALIFY,10,86.90528,178.3985548219855,869.0528,93.5299,1122.3588,165.76278129667628,1008.0741
-201751,46080,Cesar Cabral,11,11,0,12,0,14053,14053,1034788,11,818311,11,-1,-1,4029,GTP,GTP,45,Brazil,Brazil,4,174,Porsche 963 GTP,Race2Esport,-1,5,Open Qualifying,0,QUALIFY,8,84.930725,182.5461440297372,679.4458,103.4788,1241.7456000000002,149.825629582098,1008.0741
-258321,115054,Morten Kofoed,12,12,0,10,0,14730,14730,977032,7,818988,12,-1,-1,4029,GTP,GTP,43,Scandinavia,Scandinavia,12,170,Acura ARX-06 GTP,Stop N' Go Racing,-1,5,Open Qualifying,0,QUALIFY,4,82.864525,187.09787280383256,331.4581,97.7032,977.0319999999999,158.68238049930815,1008.0741
-271970,620344,Dominik Fekete,13,13,0,5,0,15682,15682,830485,4,819940,13,-1,-1,4029,GTP,GTP,46,Central-Eastern Europe,Central-Eastern Europe,3,168,Cadillac V-Series.R GTP,Magic Arrow #56,-1,5,Open Qualifying,0,QUALIFY,3,83.02176666666666,186.74351294700628,249.06529999999998,83.0485,415.2425,186.68340016255564,1008.0741
-271970,167281,Coen Gerrits,14,14,0,6,0,18016,18016,839576,10,822274,14,-1,-1,4029,GTP,GTP,40,Benelux,Benelux,2,168,Cadillac V-Series.R GTP,Magic Arrow #56,-1,5,Open Qualifying,0,QUALIFY,4,83.83845,184.9244154489975,335.3538,83.9576,503.74559999999997,184.66197650242506,1008.0741
-109804,292820,Juanjo Gragera,15,15,0,5,0,18916,18916,877616,4,823174,15,-1,-1,4029,GTP,GTP,38,Iberia,Iberia,2,170,Acura ARX-06 GTP,Carbono eSports Black,-1,5,Open Qualifying,0,QUALIFY,4,83.452975,185.77859397343238,333.8119,87.7616,438.808,176.65785899983595,1008.0741
-153276,257599,Milan Radivojevic,16,0,0,8,0,114285,0,1117854,5,918543,16,-1,-1,4011,IMSA23,IMSA23,46,Central-Eastern Europe,Central-Eastern Europe,7,173,Ferrari 296 GT3,RUCANOR RACING,-1,5,Open Qualifying,0,QUALIFY,4,96.9233,159.9592291884408,387.6932,111.7854,894.2832,138.69231901840493,1008.0741
-129672,607475,Lorenzo Castellani,17,1,0,8,0,115407,1122,1122273,5,919665,17,-1,-1,4011,IMSA23,IMSA23,41,Italy,Italy,10,173,Ferrari 296 GT3,Zero7 Racing #201,-1,5,Open Qualifying,0,QUALIFY,3,92.0827,168.3679600880513,276.2481,112.2273,897.8184,138.14621182546495,1008.0741
-134960,310170,Alex Gal,18,2,0,9,0,116606,2321,1101130,9,920864,18,-1,-1,4011,IMSA23,IMSA23,39,France,France,5,169,Porsche 911 GT3 R (992),Chicane Online Racing Blue,-1,5,Open Qualifying,0,QUALIFY,3,92.27063333333334,168.02503460002987,276.81190000000004,110.113,991.017,140.79878269050886,1008.0741
-117499,498058,Alberto Moreno S,19,3,0,8,0,116638,2353,1143194,5,920896,19,-1,-1,4011,IMSA23,IMSA23,38,Iberia,Iberia,1,132,BMW M4 GT3,Carbono eSports JD Army,-1,5,Open Qualifying,0,QUALIFY,6,96.56985,160.54468717099593,579.4191000000001,114.3194,914.5552,135.618069709953,1008.0741
-194019,227966,Juanma Frias Gamez,20,4,0,8,0,116967,2682,1132295,4,921225,20,-1,-1,4011,IMSA23,IMSA23,38,Iberia,Iberia,9,169,Porsche 911 GT3 R (992),EUROMASTER ESPORTS,-1,5,Open Qualifying,0,QUALIFY,4,94.331275,164.35457231337116,377.3251,113.2295,905.836,136.9234727557748,1008.0741
-143359,602947,Daniel Cruz4,21,5,0,7,0,116980,2695,1100332,6,921238,21,-1,-1,4011,IMSA23,IMSA23,38,Iberia,Iberia,4,173,Ferrari 296 GT3,CORE MOTORSPORTS,-1,5,Open Qualifying,0,QUALIFY,4,96.254875,161.07003783860299,385.0195,110.0332,770.2324,140.90089498805818,1008.0741
-299547,415746,Sito Ferrer,22,6,0,8,0,117196,2911,1150978,2,921454,22,-1,-1,4011,IMSA23,IMSA23,38,Iberia,Iberia,4,156,Mercedes-AMG GT3 2020,Peaky Drivers #221,-1,5,Open Qualifying,0,QUALIFY,4,94.042175,164.85982335478738,376.1687,115.0978,920.7824,134.70089227074715,1008.0741
