team_id,cust_id,display_name,average_lap,best_lap_num,best_lap_time,car_class_id,car_class_name,car_class_short_name,car_id,car_name,class_interval,club_id,club_name,club_shortname,country_code,finish_position,finish_position_in_class,incidents,interval,laps_complete,laps_lead,opt_laps_complete,position,starting_position,starting_position_in_class,team_display_name,simsession_number,simsession_type,simsession_type_name,simsession_subtype,simsession_name,laps_complete_valid,average_lap_valid,speed_valid,time_valid,avg_lap,time,speed,total_session_time
-289324,530592,Arun Phull,1287776,19,1160791,4029,GTP,GTP,170,Acura ARX-06 GTP,0,36,UK and I,UK and I,GB,0,0,12,0,9,0,0,0,-1,-1,Reiter Engineering Esports,-2,3,Open Practice,0,PRACTICE,5,129,196,644,129.0,1161.0,196.0,1159
-289324,289340,Jan Körbs,1483442,7,1169650,4029,GTP,GTP,170,Acura ARX-06 GTP,8859,42,DE-AT-CH,DE-AT-CH,DE,6,6,1,8859,10,0,0,6,-1,-1,Reiter Engineering Esports,-2,3,Open Practice,0,PRACTICE,7,148,170,1038,148.0,1480.0,170.0,1159
-362179,775547,André Rosa,1592947,18,1162603,4029,GTP,GTP,170,Acura ARX-06 GTP,1812,38,Iberia,Iberia,GI,1,1,9,1812,7,0,0,1,-1,-1,NGC by Rubis Gás (Butano),-2,3,Open Practice,0,PRACTICE,4,159,158,637,159.0,1113.0,158.0,1159
-362179,604937,Nelson Clemente,1205102,10,1186746,4029,GTP,GTP,170,Acura ARX-06 GTP,25955,39,France,France,MC,22,22,2,25955,11,0,0,22,-1,-1,NGC by Rubis Gás (Butano),-2,3,Open Practice,0,PRACTICE,11,121,209,1326,121.0,1331.0,209.0,1159
-210064,396799,Neil Debacquer,1399169,8,1163389,4029,GTP,GTP,196,Ferrari 499P,2598,40,Benelux,Benelux,BE,2,2,10,2598,10,0,0,2,-1,-1,Taylor Mills Racing #41,-2,3,Open Practice,0,PRACTICE,8,140,180,1119,140.0,1400.0,180.0,1159
-210064,607186,Dominique Renã© Englicht,0,-1,-1,4029,GTP,GTP,196,Ferrari 499P,-1,42,DE-AT-CH,DE-AT-CH,DE,98,34,2,-1,1,0,0,98,-1,-1,Taylor Mills Racing #41,-2,3,Open Practice,0,PRACTICE,0,0,0,0,0.0,0.0,inf,1159
-132790,786912,Hendrik Ipsen,1464372,5,1163647,4029,GTP,GTP,170,Acura ARX-06 GTP,2856,42,DE-AT-CH,DE-AT-CH,DE,3,3,10,2856,10,0,0,3,-1,-1,Reiter Engineering Esports II,-2,3,Open Practice,0,PRACTICE,7,146,172,1025,146.0,1460.0,172.0,1159
-379750,730048,Max Daleiden,1303171,15,1165606,4029,GTP,GTP,170,Acura ARX-06 GTP,4815,40,Benelux,Benelux,LU,4,4,11,4815,21,0,0,4,-1,-1,Fury Simsport,-2,3,Open Practice,0,PRACTICE,17,130,193,2215,130.0,2730.0,193.0,1159
-300311,764076,Julian Swanson,1417952,10,1167882,4029,GTP,GTP,170,Acura ARX-06 GTP,7091,15,Canada,Canada,CA,5,5,16,7091,13,0,0,5,-1,-1,JJC Racing,-2,3,Open Practice,0,PRACTICE,8,142,178,1134,142.0,1846.0,178.0,1159
-300311,908669,Yuval Marek,1206445,2,1197253,4029,GTP,GTP,170,Acura ARX-06 GTP,36462,1,International Club,International,IL,27,27,4,36462,3,0,0,27,-1,-1,JJC Racing,-2,3,Open Practice,0,PRACTICE,3,121,209,362,121.0,363.0,209.0,1159
