team_id,cust_id,display_name,average_lap,best_lap_num,best_lap_time,car_class_id,car_class_name,car_class_short_name,car_id,car_name,class_interval,club_id,club_name,club_shortname,country_code,finish_position,finish_position_in_class,incidents,interval,laps_complete,laps_lead,opt_laps_complete,position,starting_position,starting_position_in_class,team_display_name,simsession_number,simsession_type,simsession_type_name,simsession_subtype,simsession_name,laps_complete_valid,average_lap_valid,speed_valid,time_valid,avg_lap,time,speed,total_session_time
-408222,490005,Randy Martin y Mateos,1158058,9,1155725,4029,GTP,GTP,170,Acura ARX-06 GTP,0,39,France,France,FR,0,0,0,0,9,0,0,0,-1,-1,Old Firm Racing By HelvetSim,-1,5,Open Qualifying,0,QUALIFY,5,116,218,579,116.0,1044.0,218.0,1042
-234405,613747,Jeanpaul Seemann,1205653,5,1156618,4029,GTP,GTP,170,Acura ARX-06 GTP,893,40,Benelux,Benelux,NL,1,1,0,893,8,0,0,1,-1,-1,DLR SimLab \\ Red,-1,5,Open Qualifying,0,QUALIFY,5,121,209,603,121.0,968.0,209.0,1042
-362179,775547,André Rosa,1182550,8,1157641,4029,GTP,GTP,170,Acura ARX-06 GTP,1916,38,Iberia,Iberia,GI,2,2,3,1916,8,0,0,2,-1,-1,NGC by Rubis Gás (Butano),-1,5,Open Qualifying,0,QUALIFY,6,118,213,710,118.0,944.0,213.0,1042
-398565,841393,Tiago B Rodriguez,1192663,5,1157743,4029,GTP,GTP,170,Acura ARX-06 GTP,2018,42,DE-AT-CH,DE-AT-CH,CH,3,3,4,2018,8,0,0,3,-1,-1,Foccus Racing PEC,-1,5,Open Qualifying,0,QUALIFY,6,119,211,716,119.0,952.0,211.0,1042
-289324,530592,Arun Phull,1188632,5,1158158,4029,GTP,GTP,170,Acura ARX-06 GTP,2433,36,UK and I,UK and I,GB,4,4,1,2433,9,0,0,4,-1,-1,Reiter Engineering Esports,-1,5,Open Qualifying,0,QUALIFY,7,119,212,832,119.0,1071.0,212.0,1042
-306596,245246,Alberto García Blasco,1162258,5,1158837,4029,GTP,GTP,170,Acura ARX-06 GTP,3112,24,Hispanoamérica,Hispanoamérica,CL,5,5,0,3112,8,0,0,5,-1,-1,XBD Racing GTP,-1,5,Open Qualifying,0,QUALIFY,6,116,217,697,116.0,928.0,217.0,1042
-333550,592411,Marc Rozendaal,1184792,8,1159236,4029,GTP,GTP,170,Acura ARX-06 GTP,3511,40,Benelux,Benelux,NL,6,6,2,3511,8,0,0,6,-1,-1,Project Valorous $50,-1,5,Open Qualifying,0,QUALIFY,6,118,213,711,118.0,944.0,213.0,1042
-409827,1021644,Raymon De Niet,1179919,5,1160196,4029,GTP,GTP,170,Acura ARX-06 GTP,4471,40,Benelux,Benelux,NL,7,7,6,4471,6,0,0,7,-1,-1,Unlucky Luc Racing,-1,5,Open Qualifying,0,QUALIFY,4,118,214,472,118.0,708.0,214.0,1042
-132790,786912,Hendrik Ipsen,1182671,7,1161101,4029,GTP,GTP,170,Acura ARX-06 GTP,5376,42,DE-AT-CH,DE-AT-CH,DE,8,8,2,5376,7,0,0,8,-1,-1,Reiter Engineering Esports II,-1,5,Open Qualifying,0,QUALIFY,5,118,213,591,118.0,826.0,213.0,1042
-210064,396799,Neil Debacquer,1179260,2,1161497,4029,GTP,GTP,196,Ferrari 499P,5772,40,Benelux,Benelux,BE,9,9,2,5772,8,0,0,9,-1,-1,Taylor Mills Racing #41,-1,5,Open Qualifying,0,QUALIFY,6,118,214,708,118.0,944.0,214.0,1042
-288978,178662,Jorge Augusto,1190071,7,1161928,4029,GTP,GTP,170,Acura ARX-06 GTP,6203,38,Iberia,Iberia,AD,10,10,6,6203,8,0,0,10,-1,-1,Enosis eSports Simultimate GTP,-1,5,Open Qualifying,0,QUALIFY,4,119,212,476,119.0,952.0,212.0,1042
