team_id,cust_id,display_name,average_lap,best_lap_num,best_lap_time,car_class_id,car_class_name,car_class_short_name,car_id,car_name,class_interval,club_id,club_name,club_shortname,country_code,finish_position,finish_position_in_class,incidents,interval,laps_complete,laps_lead,opt_laps_complete,position,starting_position,starting_position_in_class,team_display_name,simsession_number,simsession_type,simsession_type_name,simsession_subtype,simsession_name,laps_complete_valid,average_lap_valid,speed_valid,time_valid,avg_lap,time,speed,total_session_time
-408222,490005,Randy Martin y Mateos,1212885,22,1176622,4029,GTP,GTP,170,Acura ARX-06 GTP,0,39,France,France,FR,0,0,22,0,149,11,0,0,0,0,Old Firm Racing By HelvetSim,0,6,Race,0,RACE,146,121,208,17708,121.0,18029.0,208.0,35602
-408222,803226,Julien Harmand,1217354,160,1180546,4029,GTP,GTP,170,Acura ARX-06 GTP,0,39,France,France,FR,0,0,15,0,144,11,0,0,0,0,Old Firm Racing By HelvetSim,0,6,Race,0,RACE,141,122,207,17165,122.0,17568.0,207.0,35602
-234405,613747,Jeanpaul Seemann,1217795,23,1174918,4029,GTP,GTP,170,Acura ARX-06 GTP,329423,40,Benelux,Benelux,NL,1,1,16,329423,168,147,0,1,1,1,DLR SimLab \\ Red,0,6,Race,0,RACE,165,122,207,20091,122.0,20496.0,207.0,35602
-234405,634750,Mathijs Wijten,1218821,60,1178870,4029,GTP,GTP,170,Acura ARX-06 GTP,329423,40,Benelux,Benelux,NL,1,1,28,329423,125,72,0,1,1,1,DLR SimLab \\ Red,0,6,Race,0,RACE,121,122,207,14745,122.0,15250.0,207.0,35602
-289324,289340,Jan Körbs,1217615,115,1171979,4029,GTP,GTP,170,Acura ARX-06 GTP,347181,42,DE-AT-CH,DE-AT-CH,DE,2,2,24,347181,166,8,0,2,4,4,Reiter Engineering Esports,0,6,Race,0,RACE,164,122,207,19969,122.0,20252.0,207.0,35602
-289324,530592,Arun Phull,1217798,199,1178996,4029,GTP,GTP,170,Acura ARX-06 GTP,347181,36,UK and I,UK and I,GB,2,2,20,347181,92,9,0,2,4,4,Reiter Engineering Esports,0,6,Race,0,RACE,90,122,207,10960,122.0,11224.0,207.0,35602
-289324,528552,Niclas Geßner,1226564,162,1180170,4029,GTP,GTP,170,Acura ARX-06 GTP,347181,42,DE-AT-CH,DE-AT-CH,DE,2,2,10,347181,35,33,0,2,4,4,Reiter Engineering Esports,0,6,Race,0,RACE,33,123,206,4044,123.0,4305.0,205.0,35602
-379750,433451,William Foyle,1227776,129,1179713,4029,GTP,GTP,170,Acura ARX-06 GTP,1021251,36,UK and I,UK and I,GB,3,3,14,1021251,158,0,0,3,11,11,Fury Simsport,0,6,Race,0,RACE,155,122,206,18950,123.0,19434.0,205.0,35602
-379750,730048,Max Daleiden,1223735,16,1180331,4029,GTP,GTP,170,Acura ARX-06 GTP,1021251,40,Benelux,Benelux,LU,3,3,19,1021251,135,0,0,3,11,11,Fury Simsport,0,6,Race,0,RACE,134,122,206,16398,122.0,16470.0,206.0,35602
-248892,690462,Alex Pilbeam,1222620,266,1181624,4029,GTP,GTP,196,Ferrari 499P,-1,36,UK and I,UK and I,GB,4,4,15,-1,220,0,0,4,17,17,HWT Motorsport,0,6,Race,0,RACE,217,122,206,26531,122.0,26840.0,206.0,35602
